"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_E64-16as_v4","64","1047552","884736","524288","32"
"Standard_E64-32as_v4","64","1047552","884736","524288","32"
"Standard_E64as_v4","64","1047552","884736","524288","32"
"Standard_E96-24as_v4","96","1047552","1376256","688128","32"
"Standard_E96-48as_v4","96","1047552","1376256","688128","32"
"Standard_E96as_v4","96","1047552","1376256","688128","32"
"Standard_E2as_v5","2","1047552","0","16384","4"
"Standard_E4-2as_v5","4","1047552","0","32768","8"
"Standard_E4as_v5","4","1047552","0","32768","8"
"Standard_E8-2as_v5","8","1047552","0","65536","16"
"Standard_E8-4as_v5","8","1047552","0","65536","16"
"Standard_E8as_v5","8","1047552","0","65536","16"
"Standard_E16-4as_v5","16","1047552","0","131072","32"
"Standard_E16-8as_v5","16","1047552","0","131072","32"
"Standard_E16as_v5","16","1047552","0","131072","32"
"Standard_E20as_v5","20","1047552","0","163840","32"
"Standard_E32-8as_v5","32","1047552","0","262144","32"
"Standard_E32-16as_v5","32","1047552","0","262144","32"
"Standard_E32as_v5","32","1047552","0","262144","32"
"Standard_E48as_v5","48","1047552","0","393216","32"
"Standard_E64-16as_v5","64","1047552","0","524288","32"
"Standard_E64-32as_v5","64","1047552","0","524288","32"
"Standard_E64as_v5","64","1047552","0","524288","32"
"Standard_E96-24as_v5","96","1047552","0","688128","32"
"Standard_E96-48as_v5","96","1047552","0","688128","32"
"Standard_E96as_v5","96","1047552","0","688128","32"
"Standard_D96ads_v5","96","1047552","3686400","393216","32"
"Standard_E2ads_v5","2","1047552","76800","16384","4"
"Standard_E4-2ads_v5","4","1047552","153600","32768","8"
"Standard_E4ads_v5","4","1047552","153600","32768","8"
"Standard_E8-2ads_v5","8","1047552","307200","65536","16"
"Standard_E8-4ads_v5","8","1047552","307200","65536","16"
"Standard_E8ads_v5","8","1047552","307200","65536","16"
"Standard_E16-4ads_v5","16","1047552","614400","131072","32"
"Standard_E16-8ads_v5","16","1047552","614400","131072","32"
"Standard_E16ads_v5","16","1047552","614400","131072","32"
